2023-07-08 17:12:49 | SUCCESS | 17044-22712 | "D:\workspace\self\flaskProject\midjourney\task\bot\listener.py:22":on_ready - Logged in as bot1127054121174835280#5468 (ID: 1127054121174835280)
2023-07-08 17:21:51 | SUCCESS | 23904-25112 | "D:\workspace\self\flaskProject\midjourney\task\bot\listener.py:22":on_ready - Logged in as bot1127054121174835280#5468 (ID: 1127054121174835280)
2023-07-08 17:35:57 | DEBUG | 3100-16788 | "D:\workspace\self\flaskProject\midjourney\util\_queue.py:60":_exec - Task[6278827617] start execution: generate(("<#6278827617#>best quality,masterpiece,illustration, an extremely delicate and beautiful,extremely detailed,CG,unity,8k wallpaper, When it comes to finding the best quality masterpiece illustrations, there are many factors to consider. However, if you're looking for something that is extremely delicate, beautiful, and detailed, you might want to explore the world of computer-generated (CG) art. CG allows artists to create stunning visuals with intricate details and lifelike textures.\n\nIf you're specifically interested in wallpapers, the resolution is an important aspect. An 8K wallpaper provides an incredibly high level of detail, making it perfect for showcasing the intricate beauty of CG illustrations. With such high resolution, you'll be able to see the tiniest details and appreciate the artistry behind the creation.\n\nOne tool that is often used to create CG illustrations is Unity, a powerful game engine that allows artists to bring their creations to life. It provides a wide range of tools and features that enable artists to create visually stunning and immersive experiences.\n\nTo find the best quality CG illustrations and 8K wallpapers, you can explore various online platforms dedicated to digital art, such as ArtStation or DeviantArt. These platforms host a vast collection of artwork from talented artists around the world, allowing you to discover breathtaking masterpieces that suit your taste.\n\nRemember, art is subjective, so take your time to explore different styles and find the illustrations that resonate with you the most. Enjoy the journey of discovering the delicate and beautiful world of CG illustrations!",), {})
2023-07-08 17:41:54 | DEBUG | 10052-25100 | "D:\workspace\self\flaskProject\midjourney\util\_queue.py:60":_exec - Task[1614827664] start execution: generate(("<#1614827664#>best quality,masterpiece,illustration, an extremely delicate and beautiful,extremely detailed,CG,unity,8k wallpaper, When it comes to finding the best quality masterpiece illustrations, there are many factors to consider. However, if you're looking for something that is extremely delicate, beautiful, and detailed, you might want to explore the world of computer-generated (CG) art. CG allows artists to create stunning visuals with intricate details and lifelike textures.\n\nIf you're specifically interested in wallpapers, the resolution is an important aspect. An 8K wallpaper provides an incredibly high level of detail, making it perfect for showcasing the intricate beauty of CG illustrations. With such high resolution, you'll be able to see the tiniest details and appreciate the artistry behind the creation.\n\nOne tool that is often used to create CG illustrations is Unity, a powerful game engine that allows artists to bring their creations to life. It provides a wide range of tools and features that enable artists to create visually stunning and immersive experiences.\n\nTo find the best quality CG illustrations and 8K wallpapers, you can explore various online platforms dedicated to digital art, such as ArtStation or DeviantArt. These platforms host a vast collection of artwork from talented artists around the world, allowing you to discover breathtaking masterpieces that suit your taste.\n\nRemember, art is subjective, so take your time to explore different styles and find the illustrations that resonate with you the most. Enjoy the journey of discovering the delicate and beautiful world of CG illustrations!",), {})
2023-07-08 17:42:39 | DEBUG | 5332-11704 | "D:\workspace\self\flaskProject\midjourney\util\_queue.py:60":_exec - Task[7104913033] start execution: generate(("<#7104913033#>best quality,masterpiece,illustration, an extremely delicate and beautiful,extremely detailed,CG,unity,8k wallpaper, When it comes to finding the best quality masterpiece illustrations, there are many factors to consider. However, if you're looking for something that is extremely delicate, beautiful, and detailed, you might want to explore the world of computer-generated (CG) art. CG allows artists to create stunning visuals with intricate details and lifelike textures.\n\nIf you're specifically interested in wallpapers, the resolution is an important aspect. An 8K wallpaper provides an incredibly high level of detail, making it perfect for showcasing the intricate beauty of CG illustrations. With such high resolution, you'll be able to see the tiniest details and appreciate the artistry behind the creation.\n\nOne tool that is often used to create CG illustrations is Unity, a powerful game engine that allows artists to bring their creations to life. It provides a wide range of tools and features that enable artists to create visually stunning and immersive experiences.\n\nTo find the best quality CG illustrations and 8K wallpapers, you can explore various online platforms dedicated to digital art, such as ArtStation or DeviantArt. These platforms host a vast collection of artwork from talented artists around the world, allowing you to discover breathtaking masterpieces that suit your taste.\n\nRemember, art is subjective, so take your time to explore different styles and find the illustrations that resonate with you the most. Enjoy the journey of discovering the delicate and beautiful world of CG illustrations!",), {})
2023-07-08 17:49:00 | DEBUG | 13784-8856 | "D:\workspace\self\flaskProject\midjourney\util\_queue.py:60":_exec - Task[7866853623] start execution: generate(("<#7866853623#>best quality,masterpiece,illustration, an extremely delicate and beautiful,extremely detailed,CG,unity,8k wallpaper, When it comes to finding the best quality masterpiece illustrations, there are many factors to consider. However, if you're looking for something that is extremely delicate, beautiful, and detailed, you might want to explore the world of computer-generated (CG) art. CG allows artists to create stunning visuals with intricate details and lifelike textures.\n\nIf you're specifically interested in wallpapers, the resolution is an important aspect. An 8K wallpaper provides an incredibly high level of detail, making it perfect for showcasing the intricate beauty of CG illustrations. With such high resolution, you'll be able to see the tiniest details and appreciate the artistry behind the creation.\n\nOne tool that is often used to create CG illustrations is Unity, a powerful game engine that allows artists to bring their creations to life. It provides a wide range of tools and features that enable artists to create visually stunning and immersive experiences.\n\nTo find the best quality CG illustrations and 8K wallpapers, you can explore various online platforms dedicated to digital art, such as ArtStation or DeviantArt. These platforms host a vast collection of artwork from talented artists around the world, allowing you to discover breathtaking masterpieces that suit your taste.\n\nRemember, art is subjective, so take your time to explore different styles and find the illustrations that resonate with you the most. Enjoy the journey of discovering the delicate and beautiful world of CG illustrations!",), {})
2023-07-08 17:49:00 | DEBUG | 13784-8856 | "D:\workspace\self\flaskProject\midjourney\util\fetch.py:47":fetch - Fetch: https://discord.com/api/v9/interactions, {'data': '{"type": 2, "application_id": "936929561302675456", "guild_id": "1116264579220127784", "channel_id": "1116264579220127787", "session_id": "cb06f61453064c0983f2adae2a88c223", "data": {"version": "1118961510123847772", "id": "938956540159881230", "name": "imagine", "type": 1, "options": [{"type": 3, "name": "prompt", "value": "<#7866853623#>best quality,masterpiece,illustration, an extremely delicate and beautiful,extremely detailed,CG,unity,8k wallpaper, When it comes to finding the best quality masterpiece illustrations, there are many factors to consider. However, if you\'re looking for something that is extremely delicate, beautiful, and detailed, you might want to explore the world of computer-generated (CG) art. CG allows artists to create stunning visuals with intricate details and lifelike textures.\\n\\nIf you\'re specifically interested in wallpapers, the resolution is an important aspect. An 8K wallpaper provides an incredibly high level of detail, making it perfect for showcasing the intricate beauty of CG illustrations. With such high resolution, you\'ll be able to see the tiniest details and appreciate the artistry behind the creation.\\n\\nOne tool that is often used to create CG illustrations is Unity, a powerful game engine that allows artists to bring their creations to life. It provides a wide range of tools and features that enable artists to create visually stunning and immersive experiences.\\n\\nTo find the best quality CG illustrations and 8K wallpapers, you can explore various online platforms dedicated to digital art, such as ArtStation or DeviantArt. These platforms host a vast collection of artwork from talented artists around the world, allowing you to discover breathtaking masterpieces that suit your taste.\\n\\nRemember, art is subjective, so take your time to explore different styles and find the illustrations that resonate with you the most. Enjoy the journey of discovering the delicate and beautiful world of CG illustrations!"}], "attachments": []}}'}
2023-07-08 17:51:17 | DEBUG | 21280-15260 | "D:\workspace\self\flaskProject\midjourney\util\_queue.py:60":_exec - Task[5004986921] start execution: generate(("<#5004986921#>best quality,masterpiece,illustration, an extremely delicate and beautiful,extremely detailed,CG,unity,8k wallpaper, When it comes to finding the best quality masterpiece illustrations, there are many factors to consider. However, if you're looking for something that is extremely delicate, beautiful, and detailed, you might want to explore the world of computer-generated (CG) art. CG allows artists to create stunning visuals with intricate details and lifelike textures.\n\nIf you're specifically interested in wallpapers, the resolution is an important aspect. An 8K wallpaper provides an incredibly high level of detail, making it perfect for showcasing the intricate beauty of CG illustrations. With such high resolution, you'll be able to see the tiniest details and appreciate the artistry behind the creation.\n\nOne tool that is often used to create CG illustrations is Unity, a powerful game engine that allows artists to bring their creations to life. It provides a wide range of tools and features that enable artists to create visually stunning and immersive experiences.\n\nTo find the best quality CG illustrations and 8K wallpapers, you can explore various online platforms dedicated to digital art, such as ArtStation or DeviantArt. These platforms host a vast collection of artwork from talented artists around the world, allowing you to discover breathtaking masterpieces that suit your taste.\n\nRemember, art is subjective, so take your time to explore different styles and find the illustrations that resonate with you the most. Enjoy the journey of discovering the delicate and beautiful world of CG illustrations!",), {})
2023-07-08 17:51:17 | DEBUG | 21280-15260 | "D:\workspace\self\flaskProject\midjourney\util\fetch.py:47":fetch - Fetch: https://discord.com/api/v9/interactions, {'data': '{"type": 2, "application_id": "936929561302675456", "guild_id": "1116264579220127784", "channel_id": "1116264579220127787", "session_id": "cb06f61453064c0983f2adae2a88c223", "data": {"version": "1118961510123847772", "id": "938956540159881230", "name": "imagine", "type": 1, "options": [{"type": 3, "name": "prompt", "value": "<#5004986921#>best quality,masterpiece,illustration, an extremely delicate and beautiful,extremely detailed,CG,unity,8k wallpaper, When it comes to finding the best quality masterpiece illustrations, there are many factors to consider. However, if you\'re looking for something that is extremely delicate, beautiful, and detailed, you might want to explore the world of computer-generated (CG) art. CG allows artists to create stunning visuals with intricate details and lifelike textures.\\n\\nIf you\'re specifically interested in wallpapers, the resolution is an important aspect. An 8K wallpaper provides an incredibly high level of detail, making it perfect for showcasing the intricate beauty of CG illustrations. With such high resolution, you\'ll be able to see the tiniest details and appreciate the artistry behind the creation.\\n\\nOne tool that is often used to create CG illustrations is Unity, a powerful game engine that allows artists to bring their creations to life. It provides a wide range of tools and features that enable artists to create visually stunning and immersive experiences.\\n\\nTo find the best quality CG illustrations and 8K wallpapers, you can explore various online platforms dedicated to digital art, such as ArtStation or DeviantArt. These platforms host a vast collection of artwork from talented artists around the world, allowing you to discover breathtaking masterpieces that suit your taste.\\n\\nRemember, art is subjective, so take your time to explore different styles and find the illustrations that resonate with you the most. Enjoy the journey of discovering the delicate and beautiful world of CG illustrations!"}], "attachments": []}}'}
2023-07-08 17:51:17 | DEBUG | 21280-15260 | "D:\workspace\self\flaskProject\midjourney\util\_queue.py:60":_exec - Task[7183388948] start execution: generate(('<#7183388948#>best quality,masterpiece,illustration, an extremely delicate and beautiful,extremely detailed,CG,unity,8k wallpaper, When it comes to finding the best quality, masterpiece illustration for an extremely delicate and beautiful, extremely detailed computer-generated (CG) artwork, there are a few factors to consider. First, you\'ll want to ensure that the artwork is created by a talented artist who specializes in illustrations and has a keen eye for detail. Look for artists with a strong portfolio and a style that resonates with you.\n\nIn terms of resolution, an 8K wallpaper provides exceptional clarity and sharpness. This level of detail allows you to appreciate the intricacies of the artwork on high-resolution screens. Unity is a popular game engine that offers powerful tools for creating visually stunning CG artwork, so you might want to search for illustrations made using this software.\n\nTo find such a masterpiece, you can explore various platforms dedicated to digital art, such as ArtStation, DeviantArt, or Behance. These websites host a vast collection of artwork created by talented artists from around the world. You can search for specific keywords like "CG illustration," "8K wallpaper," or even mention the style or theme you\'re interested in.\n\nRemember, art is subjective, so take your time to browse through different artists\' portfolios and find the one that resonates with you the most. Once you find an artwork that captivates you, you can often reach out to the artist directly to inquire about obtaining a high-quality version or discuss licensing options.\n\nEnjoy your search, and I hope you find the perfect masterpiece illustration to adorn your screen!',), {})
2023-07-08 17:51:17 | DEBUG | 21280-15260 | "D:\workspace\self\flaskProject\midjourney\util\fetch.py:47":fetch - Fetch: https://discord.com/api/v9/interactions, {'data': '{"type": 2, "application_id": "936929561302675456", "guild_id": "1116264579220127784", "channel_id": "1116264579220127787", "session_id": "cb06f61453064c0983f2adae2a88c223", "data": {"version": "1118961510123847772", "id": "938956540159881230", "name": "imagine", "type": 1, "options": [{"type": 3, "name": "prompt", "value": "<#7183388948#>best quality,masterpiece,illustration, an extremely delicate and beautiful,extremely detailed,CG,unity,8k wallpaper, When it comes to finding the best quality, masterpiece illustration for an extremely delicate and beautiful, extremely detailed computer-generated (CG) artwork, there are a few factors to consider. First, you\'ll want to ensure that the artwork is created by a talented artist who specializes in illustrations and has a keen eye for detail. Look for artists with a strong portfolio and a style that resonates with you.\\n\\nIn terms of resolution, an 8K wallpaper provides exceptional clarity and sharpness. This level of detail allows you to appreciate the intricacies of the artwork on high-resolution screens. Unity is a popular game engine that offers powerful tools for creating visually stunning CG artwork, so you might want to search for illustrations made using this software.\\n\\nTo find such a masterpiece, you can explore various platforms dedicated to digital art, such as ArtStation, DeviantArt, or Behance. These websites host a vast collection of artwork created by talented artists from around the world. You can search for specific keywords like \\"CG illustration,\\" \\"8K wallpaper,\\" or even mention the style or theme you\'re interested in.\\n\\nRemember, art is subjective, so take your time to browse through different artists\' portfolios and find the one that resonates with you the most. Once you find an artwork that captivates you, you can often reach out to the artist directly to inquire about obtaining a high-quality version or discuss licensing options.\\n\\nEnjoy your search, and I hope you find the perfect masterpiece illustration to adorn your screen!"}], "attachments": []}}'}
